0: 797,76,1017,867,83
1: 70,273,352,320,660,657
2: 729,1032
3: 860,935,975,693
4: 117,289
5: 240,689,586,309,634,67
6: 855,806
7: 288,627,435,101
8: 150,215,36,632
9: 218,922,306
10: 671,849,995
11: 517,491,376,29,216,952
12: 797
13: 309,441,131,1030
14: 403,614
15: 224,232,157
16: 786,677,213,1028
17: 305
18: 622,362,94
19: 774,388,708,295
20: 784,664
21: 122,883,420,419
22: 743,257,1044,1036,72,541
23: 959,851,476,186,594,68
24: 984,1023,119
25: 232,658,754
26: 
27: 878
28: 974,552,1053,1045
29: 376,1020,11,983,216
30: 1067
31: 819
32: 873,308,341
33: 225,769,770,253,493
34: 313,905
35: 233,1077,418,811
36: 215,8,767,246
37: 391,572,865
38: 222,69,759,994
39: 820,936
40: 220,281,174,316
41: 436,692
1082: 107,338
43: 615,551,113
44: 471,509,320,724
45: 499,595,791
46: 80,91,429,64,123,996
47: 144
1043: 885,384,399,898,124,294
49: 221,360,688,1040
50: 898,259,641,593,355
51: 400,299
52: 986,364,458,307,624
1068: 156,161
54: 897,459,260,1087
55: 361,995,671
56: 
57: 759,222
58: 1018,77,492
59: 738,994,441,861,1030,1019,179
60: 863,643,616,1047
61: 818,751,679,733,162
62: 939,948,684,497
63: 922,306,188,881
64: 429,123,46
65: 963
1085: 367,500
67: 861,634,5,309,441
68: 594,186,23
69: 38,738,994,854
70: 273,1,709,373,352
71: 703,726,661
72: 541,743,22,627
73: 115,223
74: 206,401,286,957,673,288
75: 890,894,255,774,708
76: 0,1017,83,1013,722
77: 946,492,58
78: 813,394,85
79: 680,862,277,850
80: 91,133,46,429
81: 362,585,222
82: 447,580,1009,370
83: 1037,867,0,76
84: 888,487,438,1001
85: 394,276,1010,78,591
86: 700,453,584,659
87: 982,310,257,1044,395
88: 657,205,660,711,717
89: 1076,380
90: 148,733,927
91: 80,133,46,269,996
92: 507,559
93: 584,889,434,359
94: 854,622,18
95: 958,929,247,858,560
96: 304
97: 
1064: 396,589
99: 158,696,458,606
100: 378,267,1083,593
101: 435,7,877
102: 168,524,1061,325,375
103: 314,810,142,723,523
104: 875,426,783,889,235,160
105: 760,465
106: 879,256,736,838,786,677
107: 1082,360
108: 
109: 1075,897,835,151
110: 614,162
111: 947,793,955
112: 1054
113: 350,551,43,565,779,1008
114: 574,245,538,330,973
115: 73
116: 744,326,970,381
117: 4,330
118: 799,909
119: 917,24,984
120: 405,999,588,1071
121: 407,957,853,673,638
122: 21,1049,419,801,930
123: 842,64,46,996
124: 898,1043,483,259
125: 230,336,1031,987,485
126: 533,416,1002
127: 899,466,1057,788
128: 374,954,284,433,856
129: 328,959,166
130: 450,391
131: 1046,480,13
132: 227,695,282,150,311,522
133: 80,91,899,466
134: 299,827,285,340
135: 203,1056,726,800,703
136: 575,822,503
137: 540,438,802,1001,263
138: 781,821,266
139: 730,899
140: 592,581
1060: 335,741,508
142: 538,416,103,314,723
143: 243,1066,923
144: 178,47
145: 264,964,471,711
146: 1080,1025,707,680,195
147: 534,1014,295
148: 90,301,685
1038: 1019,875,426,370
150: 215,8,282,132,632
151: 599,558,214,835,109
1086: 644,674,924,910
153: 1021,876,913,564
154: 231,174,488,641,355
155: 666,530,575,725
156: 1068,189
157: 755,15,607
158: 696,99,337,639,606,1088
159: 309,227,586,522,480
160: 235,204,875,104,258
161: 528,189,1068
162: 733,110,679,61
163: 563,882,869
164: 971,965,243,1033,823
165: 795,1047,613,546,297
166: 816,129
167: 
168: 102,822,725,790,1061
169: 527
170: 987,1006,551,478
171: 430,573,379,445
172: 428,1000,517,200,1055
173: 368,893,313,487
174: 294,488,281,40,316,154
175: 253,776,437,263,242
176: 
177: 615
178: 144,342
179: 1009,59,738,1019
180: 191,423,975,693
181: 597,721
1081: 332
183: 231,355,1039,1063
184: 780,984
185: 530
