0: 83,1034,867,797
1: 70,352,320,1001
2: 990,583
3: 423,1111
4: 117,289
5: 586,689,159,67
6: 855,806
7: 288,627,101,435
8: 1098,215,150
9: 758,218,306
10: 671,849,995
11: 376,491,29,983,216,952
12: 867,797,572,865
13: 441,480
14: 403,614
15: 382,475,157
16: 786,213
17: 156,305
18: 55,745,509,506
19: 708,75,774,255
20: 784,664,871,850
21: 930,801,122
22: 859,1097,425
23: 959,476,851,186,594,68
24: 590,82,184,724,1009
25: 232,658,201,754
26: 1030
27: 878
28: 974,552,1053
29: 569,376,11,194,983
30: 1067,863
31: 933,819
32: 873,722,308,668
33: 769,253,493
34: 905,825,313
35: 233,318
36: 767,1098
37: 391,572,865
38: 69,222,634,57,759
39: 820,936,467
40: 316,488,174
41: 595,434,436
1082: 107,1084,338,534
43: 615,551,68,113
44: 352,320,506,509,1019,471
45: 595,499,791,436
46: 429,64,123,80,91,996
47: 144
1043: 119,384,62,220
49: 221,360,688
50: 483,124,898
51: 299,134,1020,764,827
52: 740,1106,1021,364,307
1068: 156,528
54: 1087,393,1012
55: 18,995,671,745,361
56: 
57: 759,585,38,222
58: 710,77
59: 179
60: 863,643,1095,616
61: 733,90
62: 220,1043,948
63: 881
64: 429,46,123
65: 963
1085: 500,991,300
67: 5,159
68: 594,962,186,43,23
69: 38,222
70: 1,1027,373,709,352
71: 661,703
72: 743,206,627
73: 223,212,115
74: 121,401,673
75: 890,918,1100,19,708,255
76: 341,83,722
77: 58,490
78: 813,394,85
79: 707,680,832,884,277
80: 91,133,429,46
81: 362,622,585,222
82: 24,590,984
83: 1034,0,501,76
84: 888,487,802
85: 394,858,78,591
86: 165,546,659,453,700
87: 257,477,982,944
88: 264,980,1001,711,657,1023
89: 592,702
90: 148,733,61,927
91: 80,133,46,269,996,466
92: 507,559
93: 434,359,889
94: 347,262
95: 560,945,958
96: 304
1099: 982,310
1064: 396
99: 158,696,458,986,606
100: 593,183,241,267
101: 856,435,7
102: 168,725,1078,1061,1101,1018
103: 314,142,723,523
104: 875,235,160,1047
105: 760,465
106: 736,677,838,879
107: 1082,1067,360,338
108: 161
109: 1075,897,835,151,558
110: 614,162
111: 947,955,839,573,793
112: 334,1054
113: 779,43,551,350,962
114: 574,538,330,245
115: 73
116: 744,326,970,381
117: 4,330
118: 799,909
119: 384,1043,984,780
120: 405,999,1093
121: 957,74,407,853,638,673
122: 415,419,21
123: 842,64,46,996
124: 294,50,483
125: 987,230,485,478
126: 416
127: 899,133,466,1057
128: 374,954,877
129: 328,959,166
130: 747,1005,391
131: 246,1007,757,1096
132: 227,150,522,282,311
133: 80,91,466,899,127
134: 51,285,1056,827,340
135: 726,1056,642,703,203
1098: 8,215,767,36
137: 
138: 821,266,781
139: 899,510
140: 556,705,482
1060: 335,741,1077,508
142: 538,103,314,723
1093: 999,120,1071
144: 178,47
145: 977,942,1023,711,724,1009
146: 195,1080,862
147: 534,1084,708
148: 90,301,685
1038: 738,580,854,347,447
150: 132,227,282,8
151: 558,1006,214,109,835
1086: 644,674,910,924
153: 564,876,913
154: 969,355
155: 666,530,575
156: 1068,17
157: 755,15,475
158: 696,99,986,337,639,1088,606
159: 522,5,586,67
160: 204,1047,104
161: 108,528
162: 733,110,751
163: 563,1013,189,882,869
164: 1112,823,965,422,887
165: 86,546,659,483
166: 816,1008,129
167: 
168: 102,725,1048,790,1061
169: 349,244,527
170: 987
1107: 1069
172: 772,549,428,1055,517
173: 368,893,487
174: 488,641,40,281,1040
175: 776,263,1042,253,769
1096: 480,131,1007,757,1046
177: 615
178: 144,342
179: 738,994,59
180: 191
181: 721,1010,597,620
1081: 332
183: 593,100,231,267
184: 24,590,1019,471,724,1009
185: 530,1041
186: 1079,476,23,68
187: 881,1011,578
1100: 894,378,872,890,75
189: 163,1013,305
190: 272
191: 693,425,859,180
192: 296,1115,608
193: 502,515,774,388
194: 983,956,569,29,1004
195: 596,146,457,481
1048: 946,739,822,168,790
1059: 555,1046
198: 298,413
199: 640,614
200: 571,1016,929
201: 754,776,25,658
1078: 102,725,524,1018,498
203: 988,800,703,276,1026,135
204: 160,1047,486
205: 531,371,379,980,717,1017
206: 288,627,743,72
207: 579
208: 637,1058
209: 1041
210: 225,224,931,784,424,605
211: 701,713,905
212: 73,223,270
213: 677,786,16,256
214: 815,423,151,1006,835
215: 926,767,8,1098
216: 691,952,11,983,331
217: 1028,664,424
218: 1057,9,306
219: 998,327,651,950
220: 62,684,316,1043
221: 360,49,643,688
222: 38,69,57,585,81,622
223: 73,212,336
224: 607,931,210,605
225: 1028,210,931,424
226: 880,497
227: 132,150,522,632
228: 553,684,316,488
229: 676,937
230: 125,485,535,514
231: 355,593,183
232: 25,658,931
233: 35,975
234: 516
235: 1047,783,889,104
236: 870,644,674,676,937
1061: 790,375,102,168,1101
238: 690,1065
239: 749
240: 689,1018
241: 322,894,378,100,718,267
242: 902,782,654,817
243: 440,1066,755
244: 169,975
245: 973,675,114
246: 131,632,1007
247: 731,271
248: 357,912,612
249: 454,936
250: 358,820,687
1083: 649,297,259
252: 621,400
253: 493,817,175,33
254: 1049,628,697
255: 774,75,322,894,19
256: 879,382,1035,677,213
257: 1097,87,395
258: 917
259: 297,483,1083
260: 1031,459,1090,1087,1012
261: 847,1012
262: 509,94
263: 175,776,1042
264: 980,88,1023,717,460
1114: 651,665,950,635
266: 619,802,781,138
267: 1063,718,100,183,241
268: 329,636
269: 414,996,466,91
270: 212,396
271: 953,247
272: 190,457,831,949
1101: 1018,102,375,1061,325
1080: 621,862,1033,146,400
275: 972,1044,511,429,623
276: 988,800,203,1026,858
277: 884,680,79,862
1102: 766,1069
279: 661,409,611
280: 714,778,981,631
281: 1040,898,399,294,174
282: 695,311,132,150
283: 554,715
284: 1008
285: 1056,827,134
286: 779,962,401,957
287: 526,1005,489
288: 206,627,435,7
289: 973,682,4
290: 629,653
291: 1094,818
292: 427,819
1052: 1109,1073,843
294: 399,885,124,281,898
295: 992
296: 192,1115,829,608
297: 649,259,795,1083
298: 671,198,1027,361
299: 51,1020,439
300: 1062,991,1085
301: 818,1032,148,685
302: 814,597,908,721
303: 337,985,639
304: 96,951
305: 869,189,17
306: 922,218,9
307: 52,1106
308: 32,550,412
309: 441
310: 935,1099,395
311: 1092,282,695,132,525
312: 1090,418,459,815
313: 610,34,905
314: 103,810,142
315: 585
316: 220,684,40,488,228
1049: 254,553,628
318: 459,35,1031
1070: 810,403
320: 352,44,1,471,657,1001
321: 913,799
322: 894,241,718,255,353
323: 370
324: 687,566,358,698
325: 490,451,375,1101,1018
326: 744,116,970
327: 363,760,219,651
328: 129,959,476
329: 268,938,792
330: 973,114,117
331: 642,727,691,216,901
332: 1081
333: 1046,748
334: 112,1054,805
335: 1060,741,734,589
336: 1071,223
337: 303,639,158,986
338: 107,1082,1014,534
339: 927
340: 726,134,409
341: 76
342: 178
1037: 460,964,826,672
1103: 1072,940,635
345: 372
346: 559,578,758,961,507,1011,922
347: 94,854,1038
348: 1009,942,939,948,377
349: 169,527,535
350: 551,113,779,565
351: 412,581,990
352: 320,506,44,373,70,1
353: 742,322,718,515
1063: 718,267,1002,742
355: 231,1040,641,154
356: 367
357: 248,912,473,730
358: 250,687,324
359: 889,748,434,93
360: 221,49,1067,107
361: 1027,745,671,298,55
362: 81,622
363: 327,881
364: 52,1021
365: 923
366: 753,1025,903
367: 356
368: 173,789,893
369: 516,993
370: 323,875
371: 531,205,980
372: 345,405
373: 1027,745,352,506,70
374: 954,128,452,877,587,600
375: 1061,1101,490,325
376: 491,11,519,29
377: 939,348,977,942,880
378: 894,1100,241,872
379: 531,205,1024,1017,445
380: 702,1032,397,1013
381: 116,970
382: 256,1035,15,495
1077: 1060,741,508
384: 119,1043,780,917
1074: 775
386: 732,592
387: 950
388: 992,774,502,193
1066: 440,243,923
390: 704
391: 37,572,130,446,1005
392: 554,932,402,715
393: 847,1012,54
394: 85,858,813,78
395: 425,310,935,257
396: 1064,270
397: 1032,380
398: 874,545,866
399: 885,294,281
400: 621,1080,252
401: 957,74,286
402: 392,967,715
403: 14,1070,474
404: 824,524,695,1092
405: 999,120,372
1075: 109,897,686
407: 121,957,851,594,853
1110: 443,1104
409: 340,611,661,279
410: 828,729,963
411: 561,750,925,1000
412: 351,308,550
413: 587,600,198,512
414: 269,996,842,936
415: 122,419,533,420
416: 941,126
417: 667
418: 312
419: 415,122,533,968,807
420: 415,941
421: 469,965,604
422: 871,887,605,607,164,823
423: 815,3,214
424: 784,664,225,1028,210,217
425: 395,693,191,859,22
426: 875
427: 452,292
428: 549,172,517
429: 64,46,275,80
430: 573,1017,717,460,826,839
431: 921,633,930,537
1084: 1082,918,147,534
433: 669
434: 568,595,359,41,93
435: 856,101,288,7
436: 791,45,595,41
437: 802,781,1042
438: 825,540
439: 828,809,299
440: 1066,243,475,934,755
441: 13,309
442: 737
443: 1104,1110,620,814,597
444: 472
445: 1017,379,1024,720
446: 548,526,1005,391,572
447: 738,1038
448: 812,598,681
449: 683,648
450: 1022,947,955
451: 490,325,993
452: 427,374,954,600
453: 1047,86,659
454: 249,820,687
455: 
456: 
457: 831,481,272,195
458: 99,986
459: 318,260,1031,312,1090
