1147: 203
1: 531,701,980,371
2: 439,583
3: 1111,423,815
4: 117,330,1152
5: 525,586,67
6: 1137
7: 268,236,627,870,1035
8: 215,150,1130
9: 1011
10: 864,26,849,995
11: 901,216,29,491,1020,983
12: 548,554,797
13: 480,441,59,783
14: 403,1070,810,1040,614
15: 931,1042,382,960,475,157
16: 786,1029,213
17: 1145,305,156
18: 506,1008,362,509
19: 388,1128,1139,255,774
20: 664,777,850
21: 930,801,1070,810
22: 859,644,1097,425
23: 959,851,186,476,594,68
24: 348,1009,942
25: 232,658,201,754,931,1042
26: 864,10,472,444,995
27: 878,502
28: 974,552,1053,1021,719
29: 569,1144,449,491,194,983,11
30: 863,1067,1136
31: 284,292
32: 722,1151,668
33: 253,817
34: 713,825,905,313,173
35: 233,418,1006
36: 
37: 903,366,572,548,462
38: 81,634
39: 820,686,467,842
40: 174
41: 434,595
1082: 1084,1146,360,49
43: 615,1079,551,962,68,113
44: 373,506,1019,509
45: 499,568
46: 123,80
47: 295
1043: 738,179,426,875
49: 221,360,688,890,1082,918
50: 898,593,231
51: 764,1026,299,1004
52: 1133,364,1106,307
1068: 156,528
54: 855,806
55: 585,1008
56: 276
57: 585,222,369,315,81
58: 710,77
59: 309,1030,13,441,783
60: 863,643,625
61: 751,733,301,818
62: 119,984,780,384
63: 1057,881,363
64: 
65: 963,340,611
1085: 300,1140,1041,367
67: 159,586,5
68: 594,962,186,43,1079,23
69: 994,580
70: 
71: 703,726
72: 1097,743
73: 223,212,115
74: 407,401,673
75: 649,124,872,1116,378,1002
76: 837,670,867
77: 710,58,1124
78: 1010,1158,247,953,394
1134: 637
80: 466,46,429
81: 38,57,222
1136: 221,360,30,863,1067
83: 1049,501,868
84: 619,802,266
85: 858,394
1137: 6,855,806
87: 257,743,982,477,944
88: 352,320,1023,980,264
89: 1117,702,386
90: 733,162,110,238
1014: 1116,894,255,718,322
92: 507,559
93: 889,700
94: 262,362,622,854
95: 958
96: 951,390
1099: 982,310
1064: 396
99: 1132,986,158,913
100: 593,1047,183,241,267
101: 627
102: 575,168,725
103: 1040
104: 1127,426
105: 760,327,578,465,1141
106: 736,545,879
107: 338,1146
108: 161
109: 151,1075
110: 238,90,162
111: 793,947,955
112: 334,1054
113: 779,43,551,350,962,286
114: 330,973,245,538,1039
115: 73
116: 744,326,339,970,381
117: 4,330,574
118: 799,321
119: 62,384
120: 405,999,1093
121: 1045,669,853,1038,1001
122: 420,941
123: 848,996,46
124: 1083,75,1047,241
125: 987,230,485,478
126: 900,142
127: 133,218,1057
128: 374,954,877,856
129: 328,816,853,959,1038
130: 747,497,450,391
131: 1131,1007,757
132: 227,522,311,586
133: 127,899,139
1125: 924,562,1086
135: 203,827,642
1098: 1130,246,215,767
137: 782,1024,175
138: 821,904,619,838,266
139: 133,899,730,510
140: 592,482
1060: 335,741,1077,508
142: 245,126,538
1093: 999,120,1071
144: 147,1128
145: 977,942,711,460
146: 1034,400,646
147: 1128,144
148: 339
1038: 129,816,853,121
150: 282,8,500
151: 109,897,558,835
1086: 511,180,924,1125
153: 946,876
154: 969,355,533
155: 503,530
156: 1068,17,1145
157: 755,224,15,1042,475
158: 1132,99,606,1088
159: 67,522,586,309
160: 659
161: 108,528
162: 733,90,110,751
163: 563,189,882,869
164: 887,823,422,965,971,1112
165: 259,297,546,659,483
1153: 665,465
167: 1015
168: 822,102,1061
169: 349,527
170: 987
1107: 1069
172: 772,549,1055,428,517
173: 893,313,34,825
174: 40,399,281
175: 781,1024,137,242
1096: 333,555,1003
177: 615,1079
178: 332
179: 783,1043
180: 599,511,1086
181: 620,597
1081: 878,332
183: 231,593,100,267
1089: 
185: 
186: 476,1079,23,68
187: 219,327
1154: 666,575,725,524
189: 163,305,869
190: 457,412,272
191: 693,425,859
192: 608,1115,296
193: 992,502
194: 983,956,449,29,648,1033
195: 596,1034,481,862
1048: 405,999
1059: 568
198: 298,600,413
199: 966,403,614
200: 1138,1129,271,691
201: 570,776,25,658
1078: 1092,1018,404,695
203: 731,135,1147
204: 486,885
205: 371,445,717
1016: 1126,1158,591
207: 1103,579,1156
208: 637
209: 520
210: 225,424,605
211: 709,905,701,713
212: 73,223,270
213: 786,16,256
214: 423,599
215: 746,8,926,767,1098
216: 901,11,1020,1138
217: 932,664
218: 127,1057,306
219: 187,327
220: 948
221: 360,49,1136,643,688
222: 57,585,81
223: 73,212,336
224: 157,755,607,823
225: 601,210,493,424
226: 672
227: 132,522,632
228: 316,807,553,1037,656
229: 888,789,513,712
230: 125,485,535
231: 355,183,50,593
232: 25,658,769,1042
233: 35,418
234: 689,516,759
235: 748,1119,359
236: 7,268,1035,676
1061: 790,739,168
238: 110,90
239: 749
240: 1122,689
241: 718,124,100,1047,894
242: 175,253
243: 440,1066,755,1112
1150: 1015
245: 675,900,142,538,973,114
246: 1130,1098,1131
247: 271,953,394,78
248: 357,473
249: 1036,269,454,758
250: 1120,1155,645,820
1083: 649,124,259,1047
1035: 674,870,7,236
253: 33,242,817
254: 489
255: 1116,1014,1139,19,774
256: 879,382,786,213
257: 1097,87,743,395
258: 917
259: 297,165,483,1157,1083,649
260: 847
261: 847
262: 94,362,590
1143: 651,1114,760,665
264: 1023,980,717,88
1114: 1143,665,635,1103
266: 838,84,619,138,802
267: 718,1032,100,183,667
268: 7,236
269: 1036,249,454
270: 212,396
271: 247,200,1129,953
272: 308,412,949,831,457,190
1101: 498,479,689
1131: 131,1007,246,632
275: 429,623
276: 56
277: 449,680,914,884,1025
1102: 766,1149,1069
1126: 1010,1016,1158,630,560
280: 631,778
281: 898,294,399,174
282: 695,150,311
283: 341,949,554,797,715
284: 31,1001
1119: 359,235,748
286: 962,957,113,779,1031
287: 489,391,446,526
288: 401
289: 330,973,682,1152
290: 
291: 818
292: 31,819
1052: 1109,1073,843
294: 281,898,399
295: 47
296: 1115,556,829,608,192
297: 259,165,616,795
298: 198,427
299: 1135,400,621,764,51
300: 1085,1140,1041,1062,991
301: 61,818
1139: 255,1002,19
303: 740,985,1148
304: 928,951
305: 17,1145,189,869
306: 881,218
307: 52,1106,986
308: 1151,412,272,949
309: 59,1030,159,441
310: 935,1099,395
311: 1092,282,695,132
312: 418,1111,459,815
313: 905,1027,173,34
314: 
315: 444,57,585,995
316: 228,553
1049: 83,722
318: 1006
1070: 403,14,810,21,930
320: 373,352,88,657,1023
321: 567,118,1053
322: 353,1014,718,1032
323: 917,780,370,347,486
324: 358,687,566
1028: 832,777,887,422,604
326: 744,116,970
327: 105,760,187,219
328: 129,653,476,959
329: 368,1027
330: 289,973,114,1039,117,4,574
331: 642,727,691
332: 178,1081
333: 1096,748
334: 112,1054,805
335: 1060,741,734
336: 1071,223
337: 740,1148,1132
338: 107,534,1146
339: 927,148,116,381
340: 65,963,611
341: 283,949,797
1024: 437,137,781,175
1037: 419,656,228,807,553
1103: 207,1114,940,635
345: 372
346: 559,922
347: 447,323,780
348: 948,377,24,942
349: 169,527,535
350: 551,113,779,565
