1147: 203,858
1: 531,701,88,980,371
2: 439,1034,583
3: 1111,423,815
4: 117,1039,1152
5: 525,586,67
6: 1137
7: 1035,627,610
8: 215,746,500,282,150,1130
9: 1164
10: 864,26,849,995
11: 29,491,194,983
12: 548,554
13: 783
14: 403,1070,810
15: 931,157,960,475
16: 786
17: 1145,305,156
18: 506,1008,509
19: 388,1128,1139,774,255
20: 664,777,850
21: 930,801,1070,810
22: 859,644,1097,425
23: 186,476,68,959,851,1045,594
24: 348
25: 232,658,201
26: 864,10,472,444,315,995
27: 878,502
28: 974,816,719
29: 569,1144,11,277,449,194
30: 863,1067,1136
31: 427,1001,292
32: 722,668,1151
33: 253,817
34: 905,313,1027,1017,173
35: 589
1162: 674,644,562
37: 903,366,572,548,462
38: 81,634
39: 820,686,467,842
40: 174,807
41: 434,595
1082: 1084,1146,360,49
43: 615,1079,68,551,962,113
44: 373,657
45: 499,568
46: 123,80
47: 295
1043: 486,370,885,204
49: 221,360,688,890,1082,918
50: 898,1047,593,231
51: 764,299,828
52: 1133,364,1106,307
1068: 156,528
54: 855,806
55: 585,1008
56: 276
57: 585,222,369,315,81
58: 1021,77
59: 179,783
60: 863,643,625
61: 751,733,301,818
62: 119,984,780,384
63: 1057,881,363
64: 
65: 963,340,611
1085: 367,557
67: 159,586,5
68: 43,1079,186,23,594,962
69: 994,580
1163: 167,177
71: 703,726
72: 870,1097,743
73: 223,212,115
74: 669,1044,407,673
75: 1002,124,894,241
76: 837,1005
77: 58,1124
78: 1158,247,394
1134: 637
80: 466,46,429
81: 38,57,222
1136: 221,360,30,863,1067
83: 501,868
84: 619,266,802,437
85: 858,394,1016
1137: 6,855,806
87: 257,743,982,477,944
88: 352,1023,1,980
89: 482,386,291
90: 733,162,110,238
1014: 353,322,718
92: 507,559
93: 889,700
94: 262,362,622,854
95: 958
96: 951,390
1099: 982,310
1064: 396
99: 1132,158,913
100: 593,183,241,267
101: 627,288
102: 575,168,725
103: 
104: 1127,426
